Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,387.15,-161.575,0.0,top
C10,0.1uF,C_0402_1005Metric,213.13,-89.95,0.0,top
C100,0.1uF,C_0402_1005Metric,189.13,-113.95,0.0,top
C101,0.1uF,C_0402_1005Metric,197.13,-113.95,0.0,top
C102,0.1uF,C_0402_1005Metric,205.13,-113.95,0.0,top
C103,0.1uF,C_0402_1005Metric,213.13,-113.95,0.0,top
C104,0.1uF,C_0402_1005Metric,221.13,-113.95,0.0,top
C105,0.1uF,C_0402_1005Metric,229.13,-113.95,0.0,top
C106,0.1uF,C_0402_1005Metric,237.13,-113.95,0.0,top
C107,0.1uF,C_0402_1005Metric,245.13,-113.95,0.0,top
C108,0.1uF,C_0402_1005Metric,253.13,-113.95,0.0,top
C109,0.1uF,C_0402_1005Metric,261.13,-113.95,0.0,top
C11,0.1uF,C_0402_1005Metric,221.13,-89.95,0.0,top
C110,0.1uF,C_0402_1005Metric,269.13,-113.95,0.0,top
C111,0.1uF,C_0402_1005Metric,277.13,-113.95,0.0,top
C112,0.1uF,C_0402_1005Metric,285.13,-113.95,0.0,top
C113,0.1uF,C_0402_1005Metric,293.13,-113.95,0.0,top
C114,0.1uF,C_0402_1005Metric,301.13,-113.95,0.0,top
C115,0.1uF,C_0402_1005Metric,309.13,-113.95,0.0,top
C116,0.1uF,C_0402_1005Metric,317.13,-113.95,0.0,top
C117,0.1uF,C_0402_1005Metric,325.13,-113.95,0.0,top
C118,0.1uF,C_0402_1005Metric,333.13,-113.95,0.0,top
C119,0.1uF,C_0402_1005Metric,341.13,-113.95,0.0,top
C12,0.1uF,C_0402_1005Metric,229.13,-89.95,0.0,top
C120,0.1uF,C_0402_1005Metric,349.13,-113.95,0.0,top
C121,0.1uF,C_0402_1005Metric,357.13,-113.95,0.0,top
C122,0.1uF,C_0402_1005Metric,365.13,-113.95,0.0,top
C123,0.1uF,C_0402_1005Metric,373.13,-113.95,0.0,top
C124,0.1uF,C_0402_1005Metric,381.13,-113.95,0.0,top
C125,0.1uF,C_0402_1005Metric,387.15,-113.575,0.0,top
C126,0.1uF,C_0402_1005Metric,149.13,-121.95,0.0,top
C127,0.1uF,C_0402_1005Metric,157.13,-121.95,0.0,top
C128,0.1uF,C_0402_1005Metric,165.13,-121.95,0.0,top
C129,0.1uF,C_0402_1005Metric,173.13,-121.95,0.0,top
C13,0.1uF,C_0402_1005Metric,237.13,-89.95,0.0,top
C130,0.1uF,C_0402_1005Metric,181.13,-121.95,0.0,top
C131,0.1uF,C_0402_1005Metric,189.13,-121.95,0.0,top
C132,0.1uF,C_0402_1005Metric,197.13,-121.95,0.0,top
